Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.769231,2.769231,2.717949,2.717949,1.745529,5850
2010-01-05,2.717949,2.769231,2.717949,2.769231,1.778463,7956
2010-01-06,2.769231,2.777778,2.743590,2.777778,1.783953,23751
2010-01-07,2.769231,2.820513,2.760684,2.820513,1.811399,39780
2010-01-08,2.820513,2.820513,2.820513,2.820513,1.811399,7605
2010-01-11,2.820513,2.820513,2.820513,2.820513,1.811399,0
2010-01-12,2.777778,2.777778,2.735043,2.735043,1.756508,4797
2010-01-13,2.735043,2.735043,2.735043,2.735043,1.756508,936
2010-01-14,2.777778,2.777778,2.735043,2.735043,1.756508,4095
2010-01-15,2.735043,2.735043,2.735043,2.735043,1.756508,13923
2010-01-18,2.735043,2.735043,2.735043,2.735043,1.756508,3159
2010-01-19,2.752137,2.777778,2.649573,2.658120,1.707106,11466
2010-01-20,2.666667,2.692308,2.666667,2.666667,1.712595,3510
2010-01-21,2.666667,2.666667,2.649573,2.649573,1.701617,7137
2010-01-22,2.692308,2.692308,2.692308,2.692308,1.729062,11934
2010-01-25,2.649573,2.649573,2.649573,2.649573,1.701617,9243
2010-01-26,2.564103,2.649573,2.564103,2.649573,1.701617,12285
2010-01-27,2.649573,2.649573,2.649573,2.649573,1.701617,0
2010-01-28,2.692308,2.692308,2.692308,2.692308,1.729062,3744
2010-01-29,2.623932,2.623932,2.606838,2.606838,1.674171,12519
2010-02-01,2.606838,2.794872,2.606838,2.743590,1.761997,38493
2010-02-02,2.752137,2.777778,2.735043,2.777778,1.783953,19305
2010-02-03,2.786325,2.811966,2.700855,2.811966,1.805909,72891
2010-02-04,2.811966,2.871795,2.692308,2.735043,1.756508,99801
2010-02-05,2.735043,2.777778,2.717949,2.717949,1.745529,11349
2010-02-08,2.777778,2.897436,2.777778,2.897436,1.860800,11700
2010-02-09,2.897436,2.974359,2.863248,2.974359,1.910202,43875
2010-02-10,2.948718,3.076923,2.905983,3.076923,1.976071,47619
2010-02-11,3.051282,3.068376,2.948718,3.068376,1.970581,23049
2010-02-12,3.068376,3.205128,3.068376,3.205128,2.058407,20358
2010-02-16,3.153846,3.153846,3.034188,3.136752,2.014495,14976
2010-02-17,3.136752,3.188034,3.076923,3.076923,1.976071,41184
2010-02-18,3.119658,3.179487,3.119658,3.162393,2.030962,75231
2010-02-19,3.188034,3.196581,3.162393,3.162393,2.030962,27144
2010-02-22,3.213675,3.213675,3.162393,3.188034,2.047430,56511
2010-02-23,3.247863,3.256410,3.188034,3.256410,2.091342,56511
2010-02-24,3.256410,3.367521,3.256410,3.350427,2.151721,40716
2010-02-25,3.213675,3.341880,3.213675,3.341880,2.146232,1755
2010-02-26,3.376068,3.632479,3.376068,3.504274,2.250525,98982
2010-03-01,3.632479,3.803419,3.632479,3.760684,2.415198,29601
2010-03-02,3.846154,3.931624,3.692308,3.888889,2.497534,31824
2010-03-03,3.905983,3.974359,3.743590,3.752137,2.409709,90090
2010-03-04,3.658120,3.752137,3.658120,3.717949,2.387753,43641
2010-03-05,3.752137,4.170940,3.752137,4.059829,2.607316,76986
2010-03-08,4.145299,4.145299,4.059829,4.136752,2.656717,46449
2010-03-09,4.076923,4.264957,4.076923,4.264957,2.739054,71487
2010-03-10,4.188034,4.444444,4.188034,4.333333,2.782966,107289
2010-03-11,4.358974,4.358974,4.273504,4.273504,2.744543,50427
2010-03-12,4.273504,4.358974,4.273504,4.324786,2.777478,27729
2010-03-15,4.358974,4.410256,4.333333,4.333333,2.782966,20358
2010-03-16,4.367521,4.401709,4.358974,4.376068,2.810410,45162
2010-03-17,4.401709,4.478632,4.401709,4.478632,2.876280,27027
2010-03-18,4.452991,4.452991,4.410256,4.452991,2.859813,19188
2010-03-19,4.435897,4.470085,4.341880,4.435897,2.848835,45981
2010-03-22,4.401709,4.487179,4.384615,4.444444,2.854324,59085
2010-03-23,4.452991,4.487179,4.401709,4.444444,2.854324,75699
2010-03-24,4.487179,4.487179,4.401709,4.418803,2.837857,83304
2010-03-25,5.641026,6.538462,5.641026,6.341880,4.072901,1446237
2010-03-26,6.384615,6.410256,5.777778,5.940171,3.814915,1153503
2010-03-29,5.794872,6.290598,5.794872,5.914530,3.798448,142623
2010-03-30,6.025641,6.196581,5.940171,6.025641,3.869802,87399
2010-03-31,6.025641,6.282051,6.025641,6.282051,4.034478,107055
2010-04-01,6.333333,6.615385,6.196581,6.452991,4.144260,347490
2010-04-05,6.461538,6.700855,6.461538,6.666667,4.281487,201591
2010-04-06,6.658120,6.658120,6.538462,6.581197,4.226599,343278
2010-04-07,6.606838,6.606838,6.538462,6.581197,4.226599,68796
2010-04-08,6.538462,6.538462,6.239316,6.538462,4.199152,600210
2010-04-09,6.410256,6.538462,6.410256,6.495726,4.171704,64701
2010-04-12,6.538462,6.538462,6.410256,6.410256,4.116814,34281
2010-04-13,6.410256,6.504274,6.367521,6.478632,4.160726,61074
2010-04-14,6.470085,6.470085,6.170940,6.205128,3.985075,597987
2010-04-15,6.196581,6.196581,6.153846,6.153846,3.952143,169065
2010-04-16,6.179487,6.179487,6.051282,6.145299,3.946653,61542
2010-04-19,6.196581,6.196581,6.111111,6.145299,3.946653,51831
2010-04-20,6.111111,6.145299,6.111111,6.111111,3.924698,64935
2010-04-21,6.111111,6.145299,6.068376,6.068376,3.897249,123435
2010-04-22,6.111111,6.145299,5.940171,5.940171,3.814915,270036
2010-04-23,5.897436,6.068376,5.854701,5.905983,3.792957,256581
2010-04-26,5.957265,5.974359,5.897436,5.905983,3.792957,133965
2010-04-27,5.940171,5.957265,5.769231,5.811966,3.732579,414648
2010-04-28,5.888889,5.888889,5.811966,5.880342,3.776490,480519
2010-04-29,5.897436,5.974359,5.854701,5.957265,3.825893,174447
2010-04-30,5.940171,5.957265,5.897436,5.931624,3.809426,537732
2010-05-03,5.982906,5.982906,5.923077,5.923077,3.803936,546741
2010-05-04,5.982906,5.982906,5.794872,5.794872,3.721601,79911
2010-05-05,5.794872,5.897436,5.794872,5.811966,3.732579,264069
2010-05-06,5.769231,5.811966,5.555556,5.598291,3.595351,53118
2010-05-07,5.641026,5.641026,5.256410,5.470085,3.513014,194922
2010-05-10,5.726496,5.811966,5.555556,5.555556,3.567905,63999
2010-05-11,5.564103,5.803419,5.555556,5.641026,3.622798,18369
2010-05-12,5.683761,5.794872,5.683761,5.786325,3.716112,110214
2010-05-13,5.829060,5.829060,5.623932,5.623932,3.611817,131391
2010-05-14,5.717949,5.717949,5.470085,5.470085,3.513014,182052
2010-05-17,5.470085,5.470085,5.307692,5.470085,3.513014,480636
2010-05-18,5.427350,5.427350,5.427350,5.427350,3.485570,21645
2010-05-19,5.341880,5.384615,5.299145,5.299145,3.403234,372177
2010-05-20,5.299145,5.299145,4.923077,5.076923,3.260517,133380
2010-05-21,4.923077,5.230769,4.914530,5.230769,3.359321,111267
2010-05-25,5.196581,5.196581,5.085470,5.128205,3.293452,81081
2010-05-26,5.188034,5.299145,5.128205,5.128205,3.293452,205101
2010-05-27,5.128205,5.170940,5.085470,5.085470,3.266007,166959
2010-05-28,5.085470,5.085470,4.957265,5.051282,3.244050,193635
2010-05-31,5.256410,5.256410,5.128205,5.213675,3.348341,64467
2010-06-01,5.128205,5.145299,5.085470,5.128205,3.293452,31356
2010-06-02,5.008547,5.128205,5.008547,5.128205,3.293452,51948
2010-06-03,5.170940,5.555556,5.128205,5.350427,3.436167,128232
2010-06-04,5.350427,5.350427,5.136752,5.136752,3.298941,53235
2010-06-07,5.128205,5.128205,5.042735,5.042735,3.238561,42003
2010-06-08,5.042735,5.042735,4.957265,4.957265,3.183670,10179
2010-06-09,5.000000,5.042735,5.000000,5.042735,3.238561,9594
2010-06-10,5.042735,5.213675,5.042735,5.042735,3.238561,106587
2010-06-11,5.085470,5.085470,4.982906,4.982906,3.200137,50778
2010-06-14,5.076923,5.128205,4.914530,5.119658,3.287963,50310
2010-06-15,5.213675,5.213675,5.128205,5.213675,3.348341,9594
2010-06-16,5.128205,5.128205,5.128205,5.128205,3.293452,1404
2010-06-17,5.213675,5.213675,5.170940,5.170940,3.320897,2691
2010-06-18,5.170940,5.170940,5.034188,5.042735,3.238561,32058
2010-06-21,5.042735,5.213675,5.042735,5.128205,3.293452,124722
2010-06-22,5.128205,5.162393,5.000000,5.042735,3.238561,422487
2010-06-23,5.128205,5.128205,4.982906,4.982906,3.200137,82602
2010-06-24,5.042735,5.042735,4.931624,4.931624,3.167202,77454
2010-06-25,5.034188,5.128205,5.034188,5.094017,3.271495,87282
2010-06-28,5.119658,5.119658,4.957265,4.957265,3.183670,41418
2010-06-29,4.914530,4.940171,4.743590,4.871795,3.128780,30771
2010-06-30,5.000000,5.034188,4.743590,4.743590,3.046441,28431
2010-07-02,4.700855,5.034188,4.615385,4.658120,2.991552,49842
2010-07-05,4.700855,4.700855,4.658120,4.658120,2.991552,3744
2010-07-06,4.606838,4.615385,4.529915,4.572650,2.936661,141336
2010-07-07,4.572650,4.615385,4.487179,4.615385,2.964105,37089
2010-07-08,4.529915,4.615385,4.358974,4.487179,2.881770,78507
2010-07-09,4.572650,4.572650,4.529915,4.572650,2.936661,57447
2010-07-12,4.564103,4.564103,4.358974,4.521368,2.903727,36387
2010-07-13,4.529915,4.615385,4.529915,4.529915,2.909215,141570
2010-07-14,4.529915,4.615385,4.529915,4.529915,2.909215,36738
2010-07-15,4.529915,4.529915,4.401709,4.529915,2.909215,53820
2010-07-16,4.444444,4.487179,4.444444,4.478632,2.876280,88452
2010-07-19,4.461538,4.487179,4.401709,4.435897,2.848835,54990
2010-07-20,4.401709,4.435897,4.230769,4.401709,2.826879,113958
2010-07-21,4.401709,4.444444,4.393162,4.393162,2.821389,56745
2010-07-22,4.444444,4.487179,4.401709,4.401709,2.826879,267228
2010-07-23,4.401709,4.401709,4.401709,4.401709,2.826879,74529
2010-07-26,4.401709,4.444444,4.324786,4.324786,2.777478,108108
2010-07-27,4.401709,4.487179,4.393162,4.487179,2.881770,9117576
2010-07-28,4.529915,4.863248,4.529915,4.829060,3.101334,283842
2010-07-29,4.829060,4.829060,4.529915,4.615385,2.964105,119457
2010-07-30,4.555556,4.658120,4.529915,4.615385,2.964105,66222
2010-08-03,4.700855,4.700855,4.529915,4.615385,2.964105,298701
2010-08-04,4.615385,4.700855,4.615385,4.658120,2.991552,72774
2010-08-05,4.615385,4.658120,4.512821,4.649573,2.986064,163215
2010-08-06,4.649573,4.692308,4.649573,4.675214,3.002530,32175
2010-08-09,4.675214,4.700855,4.675214,4.700855,3.018999,44811
2010-08-10,4.572650,4.700855,4.572650,4.589744,2.947640,103077
2010-08-11,4.538462,4.606838,4.461538,4.529915,2.909215,95472
2010-08-12,4.461538,4.564103,4.461538,4.564103,2.931172,107523
2010-08-13,4.487179,4.538462,4.487179,4.512821,2.898237,32409
2010-08-16,4.487179,4.512821,4.461538,4.512821,2.898237,341172
2010-08-17,4.564103,4.615385,4.529915,4.615385,2.964105,56394
2010-08-18,4.572650,4.700855,4.572650,4.700855,3.018999,40248
2010-08-19,4.700855,4.700855,4.615385,4.615385,2.964105,8190
2010-08-20,4.598291,4.615385,4.572650,4.615385,2.964105,16965
2010-08-23,4.589744,4.615385,4.589744,4.615385,2.964105,1404
2010-08-24,4.615385,4.615385,4.572650,4.598291,2.953128,51129
2010-08-25,4.555556,4.555556,4.487179,4.487179,2.881770,183105
2010-08-26,4.452991,4.598291,4.444444,4.461538,2.865303,40950
2010-08-27,4.521368,4.529915,4.487179,4.487179,2.881770,82485
2010-08-30,4.470085,4.487179,4.444444,4.487179,2.881770,68913
2010-08-31,4.487179,4.487179,4.427350,4.444444,2.854324,57915
2010-09-01,4.444444,4.444444,4.333333,4.427350,2.843346,97461
2010-09-02,4.470085,4.487179,4.401709,4.401709,2.826879,16029
2010-09-03,4.487179,4.487179,4.410256,4.410256,2.832367,20007
2010-09-07,4.410256,4.470085,4.358974,4.401709,2.826879,222066
2010-09-08,4.401709,4.444444,4.367521,4.410256,2.832367,19539
2010-09-09,4.401709,4.572650,4.401709,4.572650,2.936661,105417
2010-09-10,4.487179,4.615385,4.487179,4.615385,2.964105,32292
2010-09-13,4.615385,4.615385,4.529915,4.529915,2.909215,42471
2010-09-14,4.538462,4.615385,4.470085,4.572650,2.936661,41184
2010-09-15,4.538462,4.598291,4.529915,4.598291,2.953128,74412
2010-09-16,4.615385,4.615385,4.547009,4.615385,2.964105,69147
2010-09-17,4.623932,4.769231,4.598291,4.700855,3.018999,205218
2010-09-20,4.700855,4.794872,4.615385,4.700855,3.018999,266643
2010-09-21,4.700855,4.786325,4.700855,4.760684,3.057421,284193
2010-09-22,4.709402,4.837607,4.658120,4.666667,2.997041,355797
2010-09-23,4.675214,4.675214,4.581197,4.581197,2.942151,104481
2010-09-24,4.615385,4.658120,4.529915,4.529915,2.909215,111735
2010-09-27,4.572650,4.658120,4.572650,4.615385,2.964105,393705
2010-09-28,4.658120,4.658120,4.615385,4.658120,2.991552,74412
2010-09-29,4.623932,4.641026,4.615385,4.615385,2.964105,33228
2010-09-30,4.692308,4.700855,4.632479,4.700855,3.018999,33696
2010-10-01,4.700855,4.854701,4.700855,4.854701,3.117801,150228
2010-10-04,4.905983,4.957265,4.854701,4.897436,3.145246,81666
2010-10-05,4.914530,4.957265,4.914530,4.914530,3.156224,36270
2010-10-06,4.974359,5.000000,4.914530,4.957265,3.183670,48789
2010-10-07,4.957265,4.957265,4.914530,4.914530,3.156224,51480
2010-10-08,4.957265,4.957265,4.854701,4.914530,3.156224,313209
2010-10-12,4.905983,4.905983,4.871795,4.871795,3.128780,20241
2010-10-13,4.905983,5.000000,4.880342,4.957265,3.183670,124137
2010-10-14,5.000000,5.179487,5.000000,5.128205,3.293452,197496
2010-10-15,5.085470,5.085470,5.000000,5.025641,3.227582,120744
2010-10-18,5.076923,5.085470,4.914530,4.914530,3.156224,250380
2010-10-19,4.914530,4.957265,4.871795,4.905983,3.150735,163098
2010-10-20,4.880342,5.128205,4.829060,5.128205,3.293452,684333
2010-10-21,5.128205,5.153846,5.042735,5.153846,3.309919,214929
2010-10-22,5.153846,5.256410,5.128205,5.213675,3.348341,1694043
2010-10-25,5.230769,5.435897,5.230769,5.393162,3.463613,187551
2010-10-26,5.393162,5.547009,5.350427,5.470085,3.513014,588861
2010-10-27,5.427350,5.478632,5.384615,5.444444,3.496548,129519
2010-10-28,5.470085,5.512821,5.427350,5.470085,3.513014,340704
2010-10-29,5.547009,5.547009,5.393162,5.512821,3.540460,253656
2010-11-01,5.470085,5.555556,5.470085,5.512821,3.540460,267696
2010-11-02,5.512821,5.769231,5.504274,5.717949,3.672198,359190
2010-11-03,5.726496,5.897436,5.683761,5.854701,3.760023,714519
2010-11-04,5.854701,6.111111,5.854701,5.982906,3.842361,1278810
2010-11-05,5.982906,5.982906,5.854701,5.940171,3.814915,532701
2010-11-08,5.897436,6.111111,5.897436,6.025641,3.869802,440388
2010-11-09,6.034188,6.068376,5.965812,5.982906,3.842361,378261
2010-11-10,5.854701,5.931624,5.811966,5.854701,3.760023,61308
2010-11-11,5.854701,5.940171,5.811966,5.897436,3.787469,111618
2010-11-12,5.854701,5.897436,5.803419,5.811966,3.732579,157716
2010-11-15,5.811966,5.854701,5.769231,5.811966,3.732579,91611
2010-11-16,5.811966,5.811966,5.555556,5.641026,3.622798,276705
2010-11-17,5.641026,5.846154,5.641026,5.811966,3.732579,493155
2010-11-18,5.811966,5.957265,5.811966,5.957265,3.825893,361530
2010-11-19,5.965812,6.068376,5.940171,6.025641,3.869802,467298
2010-11-22,6.025641,6.025641,5.982906,6.008547,3.858827,374985
2010-11-23,6.017094,6.017094,5.854701,5.897436,3.787469,31239
2010-11-24,5.931624,5.931624,5.769231,5.863248,3.765512,181935
2010-11-25,5.888889,5.897436,5.854701,5.897436,3.787469,228969
2010-11-26,5.854701,5.897436,5.803419,5.897436,3.787469,115362
2010-11-29,5.897436,5.957265,5.854701,5.897436,3.787469,281034
2010-11-30,5.982906,5.982906,5.863248,5.897436,3.787469,116532
2010-12-01,5.965812,6.324786,5.965812,6.282051,4.034478,874926
2010-12-02,6.316239,6.316239,6.239316,6.273504,4.028989,86463
2010-12-03,6.239316,6.256410,6.111111,6.239316,4.007033,14391
2010-12-06,6.239316,6.307692,6.170940,6.205128,3.985075,43992
